PLA_CODE;SMP_DB_REAL;SMP_DE_REAL;SMP_D_ANALYSIS;POL_CODE;MEA_CODE;MEA_PHYSICAL_UNIT;MEA_VALUE;MEA_F_STATUS;JOB_TYPE;
"HBX04C";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Ni";"PM@Ni";"ug/m2*jour";"9.11039657020364";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Pb";"PM@Pb";"ug/m2*jour";"3.48338692390139";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Zn";"PM@Zn";"ug/m2*jour";"92.9796355841372";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"PM";"PM";"g/m2*jour";"5.60188906751731E-02";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"As";"PM@As";"ug/m2*jour";"3.51688102893891";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Cd";"PM@Cd";"ug/m2*jour";"2.76326366559486";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Cr";"PM@Cr";"ug/m2*jour";"51.2459807073955";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Ni";"PM@Ni";"ug/m2*jour";"7.28496784565916";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Pb";"PM@Pb";"ug/m2*jour";"12.0578778135048";"A";"DATA_VALIDATE_TECH";
"HBX04C";"2026/05/04 00:00";"2026/06/05 00:00";"2026/06/29";"Zn";"PM@Zn";"ug/m2*jour";"90.1828778135048";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"PM";"PM";"g/m2*jour";"6.02893890674856E-02";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"As";"PM@As";"ug/m2*jour";"0.545475424896647";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cd";"PM@Cd";"ug/m2*jour";"7.46440055121727E-02";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Cr";"PM@Cr";"ug/m2*jour";"13.7804317868627";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Ni";"PM@Ni";"ug/m2*jour";"2.69866789159394";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Pb";"PM@Pb";"ug/m2*jour";"3.15801561782269";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/01/05 00:00";"2026/02/02 00:00";"2026/02/26";"Zn";"PM@Zn";"ug/m2*jour";"55.9830041341295";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"PM";"PM";"g/m2*jour";"3.59860664523033E-02";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"As";"PM@As";"ug/m2*jour";"0.401929260450161";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cd";"PM@Cd";"ug/m2*jour";"7.23472668810289E-02";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Cr";"PM@Cr";"ug/m2*jour";"12.593783494105";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Ni";"PM@Ni";"ug/m2*jour";"3.21543408360129";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Pb";"PM@Pb";"ug/m2*jour";"2.03644158628081";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/02/02 00:00";"2026/03/04 00:00";"2026/03/23";"Zn";"PM@Zn";"ug/m2*jour";"48.7674169346195";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"PM";"PM";"g/m2*jour";"7.10999002106238E-02";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"As";"PM@As";"ug/m2*jour";"0.665262224193369";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Cd";"PM@Cd";"ug/m2*jour";"0.252245260006653";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Cr";"PM@Cr";"ug/m2*jour";"23.006985253354";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Ni";"PM@Ni";"ug/m2*jour";"2.18982148796984";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Pb";"PM@Pb";"ug/m2*jour";"5.82104446169198";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/03/04 00:00";"2026/04/02 00:00";"2026/04/30";"Zn";"PM@Zn";"ug/m2*jour";"74.2876150349263";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"PM";"PM";"g/m2*jour";"8.27471864951678E-02";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"As";"PM@As";"ug/m2*jour";"0.678255627009646";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Cd";"PM@Cd";"ug/m2*jour";"0.110530546623794";"A";"DATA_VALIDATE_TECH";
"HBX07A";"2026/04/02 00:00";"2026/05/04 00:00";"2026/05/20";"Cr";"PM@Cr";"ug/m2*jour";"27.1302250803859";"A";"DATA_VALIDATE_TECH";
